test2, 2013-03-19, 600000, 10.65, 0, 0, 0
test2, 2013-03-19, 600000, 10.65, 0, 0, 0
test, 2013-03-19, 600060, 11.65, 0, 0, 0
test, 2013-03-19, 600060, 11.65, 0, 0, 0
test2, 2013-03-20, 600000, 11.19, 0, 0, 0
test2, 2013-03-20, 600000, 11.19, 0, 0, 0
test, 2013-03-20, 600060, 12.34, 0, 0, 0
test, 2013-03-20, 600060, 12.34, 0, 0, 0
test2, 2013-03-21, 600000, 11.1, 0, 0, 0
test2, 2013-03-21, 600000, 11.1, 0, 0, 0
test, 2013-03-21, 600060, 12.78, 0, 0, 0
test, 2013-03-21, 600060, 12.78, 0, 0, 0
test2, 2013-03-22, 600000, 11.06, 0, 0, 0
test2, 2013-03-22, 600000, 11.06, 0, 0, 0
test, 2013-03-22, 600060, 12.92, 0, 0, 0
test, 2013-03-22, 600060, 12.92, 0, 0, 0
test2, 2013-03-25, 600000, 11.04, 0, 0, 0
test2, 2013-03-25, 600000, 11.04, 0, 0, 0
test, 2013-03-25, 600060, 12.68, 0, 0, 0
test, 2013-03-25, 600060, 12.68, 0, 0, 0
test2, 2013-03-26, 600000, 10.7, 0, 0, 0
test2, 2013-03-26, 600000, 10.7, 0, 0, 0
test, 2013-03-26, 600060, 12.69, 0, 0, 0
test, 2013-03-26, 600060, 12.69, 0, 0, 0
test2, 2013-03-27, 600000, 10.76, 0, 0, 0
test2, 2013-03-27, 600000, 10.76, 0, 0, 0
test, 2013-03-27, 600060, 13.15, 0, 0, 0
test, 2013-03-27, 600060, 13.15, 0, 0, 0
test2, 2013-03-28, 600000, 10.02, 0, 0, 0
test2, 2013-03-28, 600000, 10.02, 0, 0, 0
test, 2013-03-28, 600060, 12.81, 0, 0, 0
test, 2013-03-28, 600060, 12.81, 0, 0, 0
test2, 2013-03-29, 600000, 10.13, 0, 0, 0
test2, 2013-03-29, 600000, 10.13, 0, 0, 0
test, 2013-03-29, 600060, 12.73, 0, 0, 0
test, 2013-03-29, 600060, 12.73, 0, 0, 0
test2, 2013-04-01, 600000, 10.05, 0, 0, 0
test2, 2013-04-01, 600000, 10.05, 0, 0, 0
test, 2013-04-01, 600060, 12.91, 0, 0, 0
test, 2013-04-01, 600060, 12.91, 0, 0, 0
test2, 2013-04-02, 600000, 10.03, 0, 0, 0
test2, 2013-04-02, 600000, 10.03, 0, 0, 0
test, 2013-04-02, 600060, 12.51, 0, 0, 0
test, 2013-04-02, 600060, 12.51, 0, 0, 0
test2, 2013-04-03, 600000, 10.06, 0, 0, 0
test2, 2013-04-03, 600000, 10.06, 0, 0, 0
test, 2013-04-03, 600060, 12.94, 0, 0, 0
test, 2013-04-03, 600060, 12.94, 0, 0, 0
test2, 2013-04-08, 600000, 9.92, 0, 0, 0
test2, 2013-04-08, 600000, 9.92, 0, 0, 0
test, 2013-04-08, 600060, 12.98, 0, 0, 0
test, 2013-04-08, 600060, 12.98, 0, 0, 0
test2, 2013-04-09, 600000, 10.04, 0, 0, 0
test2, 2013-04-09, 600000, 10.04, 0, 0, 0
test, 2013-04-09, 600060, 13.68, 0, 0, 0
test, 2013-04-09, 600060, 13.68, 0, 0, 0
test2, 2013-04-10, 600000, 10.0, 0, 0, 0
test2, 2013-04-10, 600000, 10.0, 0, 0, 0
test, 2013-04-10, 600060, 14.01, 0, 0, 0
test, 2013-04-10, 600060, 14.01, 0, 0, 0
test2, 2013-04-11, 600000, 10.02, 0, 0, 0
test2, 2013-04-11, 600000, 10.02, 0, 0, 0
test, 2013-04-11, 600060, 14.21, 0, 0, 0
test, 2013-04-11, 600060, 14.21, 0, 0, 0
test2, 2013-04-12, 600000, 9.94, 0, 0, 0
test2, 2013-04-12, 600000, 9.94, 0, 0, 0
test, 2013-04-12, 600060, 13.77, 0, 0, 0
test, 2013-04-12, 600060, 13.77, 0, 0, 0
test2, 2013-04-15, 600000, 9.83, 0, 0, 0
test2, 2013-04-15, 600000, 9.83, 0, 0, 0
test, 2013-04-15, 600060, 13.74, 0, 0, 0
test, 2013-04-15, 600060, 13.74, 0, 0, 0
test2, 2013-04-16, 600000, 9.74, 0, 0, 0
test2, 2013-04-16, 600000, 9.74, 0, 0, 0
test, 2013-04-16, 600060, 14.0, 0, 0, 0
test, 2013-04-16, 600060, 14.0, 0, 0, 0
test2, 2013-04-17, 600000, 9.59, 0, 0, 0
test2, 2013-04-17, 600000, 9.59, 0, 0, 0
test, 2013-04-17, 600060, 14.98, 0, 0, 0
test, 2013-04-17, 600060, 14.98, 0, 0, 0
test2, 2013-04-18, 600000, 9.63, 0, 0, 0
test2, 2013-04-18, 600000, 9.63, 0, 0, 0
test, 2013-04-18, 600060, 15.64, 0, 0, 0
test, 2013-04-18, 600060, 15.64, 0, 0, 0
test2, 2013-04-19, 600000, 10.14, 0, 0, 0
test2, 2013-04-19, 600000, 10.14, 0, 0, 0
test, 2013-04-19, 600060, 15.8, 0, 0, 0
test, 2013-04-19, 600060, 15.8, 0, 0, 0
test2, 2013-04-22, 600000, 10.22, 0, 0, 0
test2, 2013-04-22, 600000, 10.22, 0, 0, 0
test, 2013-04-22, 600060, 15.86, 0, 0, 0
test, 2013-04-22, 600060, 15.86, 0, 0, 0
test2, 2013-04-23, 600000, 9.84, 0, 0, 0
test2, 2013-04-23, 600000, 9.84, 0, 0, 0
test, 2013-04-23, 600060, 15.22, 0, 0, 0
test, 2013-04-23, 600060, 15.22, 0, 0, 0
test2, 2013-04-24, 600000, 10.03, 0, 0, 0
test2, 2013-04-24, 600000, 10.03, 0, 0, 0
test, 2013-04-24, 600060, 16.73, 0, 0, 0
test, 2013-04-24, 600060, 16.73, 0, 0, 0
test2, 2013-04-25, 600000, 9.91, 0, 0, 0
test2, 2013-04-25, 600000, 9.91, 0, 0, 0
test, 2013-04-25, 600060, 15.69, 0, 0, 0
test, 2013-04-25, 600060, 15.69, 0, 0, 0
test2, 2013-04-26, 600000, 9.88, 0, 0, 0
test2, 2013-04-26, 600000, 9.88, 0, 0, 0
test, 2013-04-26, 600060, 15.3, 0, 0, 0
test, 2013-04-26, 600060, 15.3, 0, 0, 0
test2, 2013-05-02, 600000, 9.82, 0, 0, 0
test2, 2013-05-02, 600000, 9.82, 0, 0, 0
test, 2013-05-02, 600060, 14.31, 0, 0, 0
test, 2013-05-02, 600060, 14.31, 0, 0, 0
test2, 2013-05-03, 600000, 10.01, 0, 0, 0
test2, 2013-05-03, 600000, 10.01, 0, 0, 0
test, 2013-05-03, 600060, 14.47, 0, 0, 0
test, 2013-05-03, 600060, 14.47, 0, 0, 0
test2, 2013-05-06, 600000, 10.13, 0, 0, 0
test2, 2013-05-06, 600000, 10.13, 0, 0, 0
test, 2013-05-06, 600060, 14.9, 0, 0, 0
test, 2013-05-06, 600060, 14.9, 0, 0, 0
test2, 2013-05-07, 600000, 10.06, 0, 0, 0
test2, 2013-05-07, 600000, 10.06, 0, 0, 0
test, 2013-05-07, 600060, 15.02, 0, 0, 0
test, 2013-05-07, 600060, 15.02, 0, 0, 0
test2, 2013-05-08, 600000, 10.05, 0, 0, 0
test2, 2013-05-08, 600000, 10.05, 0, 0, 0
test, 2013-05-08, 600060, 13.81, 0, 0, 0
test, 2013-05-08, 600060, 13.81, 0, 0, 0
test2, 2013-05-09, 600000, 9.97, 0, 0, 0
test2, 2013-05-09, 600000, 9.97, 0, 0, 0
test, 2013-05-09, 600060, 13.37, 0, 0, 0
test, 2013-05-09, 600060, 13.37, 0, 0, 0
test2, 2013-05-10, 600000, 10.03, 0, 0, 0
test2, 2013-05-10, 600000, 10.03, 0, 0, 0
test, 2013-05-10, 600060, 13.75, 0, 0, 0
test, 2013-05-10, 600060, 13.75, 0, 0, 0
test2, 2013-05-13, 600000, 10.02, 0, 0, 0
test2, 2013-05-13, 600000, 10.02, 0, 0, 0
test, 2013-05-13, 600060, 13.45, 0, 0, 0
test, 2013-05-13, 600060, 13.45, 0, 0, 0
test2, 2013-05-14, 600000, 9.97, 0, 0, 0
test2, 2013-05-14, 600000, 9.97, 0, 0, 0
test, 2013-05-14, 600060, 13.18, 0, 0, 0
test, 2013-05-14, 600060, 13.18, 0, 0, 0
test2, 2013-05-15, 600000, 9.99, 0, 0, 0
test2, 2013-05-15, 600000, 9.99, 0, 0, 0
test, 2013-05-15, 600060, 12.99, 0, 0, 0
test, 2013-05-15, 600060, 12.99, 0, 0, 0
test2, 2013-05-16, 600000, 10.15, 0, 0, 0
test2, 2013-05-16, 600000, 10.15, 0, 0, 0
test, 2013-05-16, 600060, 13.23, 0, 0, 0
test, 2013-05-16, 600060, 13.23, 0, 0, 0
test2, 2013-05-17, 600000, 10.24, 0, 0, 0
test2, 2013-05-17, 600000, 10.24, 0, 0, 0
test, 2013-05-17, 600060, 13.34, 0, 0, 0
test, 2013-05-17, 600060, 13.34, 0, 0, 0
test2, 2013-05-20, 600000, 10.41, 0, 0, 0
test2, 2013-05-20, 600000, 10.41, 0, 0, 0
test, 2013-05-20, 600060, 13.91, 0, 0, 0
test, 2013-05-20, 600060, 13.91, 0, 0, 0
test2, 2013-05-21, 600000, 10.34, 0, 0, 0
